Rarities
set    color        mythic    rare    uncommon    common
-----  ---------  --------  ------  ----------  --------
eld    white             4       9          10        18
       triple            5       0           0         0
       more              0       2           0         0
       colorless         2       1           0        16
       two faces         0       0           0         0
ltr    white             2      10          11        20
       blue              2       8          11        19
       black             2      10          11        19
       red               2       9          11        20
       green             2       9          11        19
       double            3      21          20         0
       triple            2       0           0         0
       more              2       0           0         0
       colorless         5      12           5         6
       two faces         0       0           0         0
woe    white             2      10          15        19
       blue              2       9          15        19
       black             3      12          15        19
       red               3      11          15        19
       green             2      10          15        19
       double            6       5          10         0
       triple            1       0           0         0
       more              0       0           0         0
       colorless         1       8           5         6
       two faces         0       0           0         0
lci    white             2       9          14        19
       blue              2       8          14        19
       black             2      10          14        19
       red               2       8          14        19
       green             3       8          14        19
       double            6       9          10         0
       triple            2       0           0         0
       more              0       0           0         0
       colorless         3      12          12        13
       two faces         0       0           0         0


Types
set      color    creature    sorcery    enchantment    artifact    planeswalker    instant    battle    land
-----  -------  ----------  ---------  -------------  ----------  --------------  ---------  --------  ------
eld         20           1          5              4           0               4          0         0       7
            18           2          4              7           0               6          0         0       6
            18           9          1              3           0               3          0         0       5
            20           5          2              3           1               7          0         0       4
            19           3          3              2           0               6          0         0       7
            19           3          4              2           4               3          0         0       1
             4           0          0              0           0               0          0         0       0
             0           0          0              0           0               0          0         0       0
            13           0          0             24           0               0          0        15       0
             0           0          0              0           0               0          0         0       0
thb         28           3         18              0           2               5          0         0       0
            26           3         17              0           0               8          0         0       0
            25           3         21              0           0               6          0         0       0
            23           7         15              0           0               4          0         0       0
            27           3         18              0           0               5          0         0       0
            21           2          6              0           3               0          0         0       0
             0           0          0              0           0               0          0         0       0
             0           0          0              0           0               0          0         0       0
             1           0          0             11           0               0          0         8       0
             0           0          0              0           0               0          0         0       0
iko         23           2          3              0           0               7          0         0       0
            16           4          6              0           0               8          0         0       0
            18           5          2              0           0               9          0         0       0
            16           7          4              0           1               7          0         0       0
            19           7          1              0           1               7          0         0       0
            37           0          1              0           0               4          0         0       0
             5           5          5              0           1               0          0         0       0
             0           0          0              0           0               0          0         0       0
             4           0          0              9           0               0          0        17       0
             0           0          0              0           0               0          0         0       0
m21         27           4          8              1           2               5          0         0       0
            23           2          7              0           2              12          0         0       0
            25          10          3              2           2               5          0         0       0
            25           6          5              0           2               9          0         0       0
            29           4          3              0           2               8          0         0       0
            11           1          0              0           0               0          0         0       0
             1           0          0              0           0               0          0         0       0
             0           0          1              0           0               0          0         0       0
             8           0          0             14           1               0          0        18       0
             0           0          0              0           0               0          0         0       0
znr         27           0          3              1           0               7          0         0       6
            21           5          3              0           1               8          0         0       6
            22           9          1              1           0               5          0         0       6
            25           5          2              1           0               5          0         0       6
            25           6          1              1           0               4          0         0       6
            18           0          0              1           2               1          0         0       0
             0           0          0              0           0               0          0         0       0
             1           0          0              0           0               0          0         0       0
             5           0          0             14           0               0          0         3       6
             0           0          0              0           0               0          0         0       0
khm         25           4          5              1           0               7          0         0       2
            20           4          5              2           0               9          0         0       2
            25           6          3              1           0               7          0         0       2
            20           7          1              4           0               9          0         0       2
            24           5          5              2           1               4          0         0       1
            13           0         21              0           2               0          0         0       1
             0           0          0              0           0               0          0         0       1
             0           0          0              0           0               0          0         0       1
             2           0          0             13           0               0          0        24       4
             0           0          0              0           0               0          0         0       0
stx         16           5          2              0           0               6          0         0       0
            10           8          0              0           0               9          0         0       0
            13           6          0              1           1               7          0         0       0
            13           9          0              0           0               6          0         0       0
            14          10          0              0           0               4          0         0       0
            43          23          2              0           1              20          0         0      14
             0           0          0              0           0               0          0         0       1
             0           0          0              0           0               0          0         0       0
             6           5          0             11           0               0          0        14       1
             0           0          0              0           0               0          0         0       0
mh2         24           5          8              8           0               5          0         0       0
            22           8          6              4           0               5          0         0       1
            26          11          3              0           0               2          0         0       0
            24           6          5              5           0               6          0         0       1
            28           6          5              1           0               4          0         0       0
            24           3          6              5           1               2          0         0       2
             1           0          0              0           2               0          0         0       0
             1           0          0              0           0               0          0         0       0
            15           0          1             42           0               0          0        21       0
             0           0          0              0           0               0          0         0       0
afr         26           0          4              9           1               4          0         0       0
            23           3          4              5           1               9          0         0       0
            25           5          2              5           1               5          0         0       0
            23           6          1              4           1               8          0         0       0
            26           4          3              2           1               7          0         0       0
            16           0          6              0           0               0          0         0       0
             1           0          0              0           0               0          0         0       0
             1           0          0              0           0               0          0         0       0
             1           0          0             14           0               0          0         9       0
             0           0          0              0           0               0          0         0       0
mid         18           3          5              1           0               6          0         0       7
            17           1          4              0           0              11          0         0       8
            18           5          3              1           0               7          0         0      10
            16           5          2              1           0               9          0         0       8
            17           6          2              1           1               7          0         0       7
            16          13          0              0           1               7          0         0       8
             0           0          0              0           0               0          0         0       0
             0           0          0              0           0               0          0         0       0
             1           0          0              7           0               0          0         7       1
             0           0          0              0           0               0          0         0       0
vow         22           3          6              1           0               5          0         0       8
            20           3          3              0           0              11          0         0       8
            21           8          2              2           1               4          0         0       9
            19           9          2              2           1               5          0         0       8
            19           5          6              2           0               4          0         0       9
            16           0          0              0           1               0          0         0       6
             0           0          0              0           0               0          0         0       0
             0           0          0              0           0               0          0         0       0
             1           0          0              8           0               0          0         7       1
             0           0          0              0           0               0          0         0       0
neo         19           6          9              6           1               6          0         0       5
            20           2          5             13           1               9          0         0       3
            22           6          4              9           0               7          0         0       4
            23           2          6             13           0               8          0         0       3
            21           4         14              1           0               6          0         0       6
            13           1          5              3           2               0          0         0       1
             2           0          0              0           0               0          0         0       0
             0           0          0              0           0               0          0         0       1
            13           0          0             25           0               0          0        19       0
             0           0          0              0           0               0          0         0       0
snc         18           3          3              3           1               5          0         0       0
            16           2          5              0           0              10          0         0       0
            18           9          1              0           0               5          0         0       0
            16           6          3              4           0               5          0         0       0
            19           1          2              4           1               6          0         0       0
            14           2          1              1           1               2          0         0       0
            30           2          5              0           0               8          0         0       0
             0           1          0              0           0               0          0         0       0
             5           0          0             14           0               0          0        15       0
             0           0          0              0           0               0          0         0       0
dmu         25           2          6              1           0               6          0         0       0
            21           5          4              0           0               9          0         0       0
            23           7          3              0           1               5          0         0       0
            22           5          3              0           1               8          0         0       0
            26           4          2              0           0               7          0         0       0
            30           0          0              0           1               0          0         0       0
             5           0          0              0           0               0          0         0       0
             1           0          0              0           0               0          0         0       0
             4           0          0             14           1               0          0        19       0
             0           0          0              0           0               0          0         0       0
bro         16           6          6              0           0               6          0         0       0
            15           3          4              1           1              10          0         0       0
            15          10          2              0           0               6          0         0       0
            14           8          6              0           0               4          0         0       0
            18           7          2              0           0               5          0         0       0
            21           1          0              1           2               0          0         0       0
             1           0          0              0           0               0          0         0       0
             0           0          0              0           0               0          0         0       0
            54           0          0             73           0               0          0        12       0
             0           0          0              0           0               0          0         0       0
one         22           2          4             11           1               5          0         0       0
            19           3          1             14           1               7          0         0       0
            24           6          2              3           1               6          0         0       0
            20           6          1              8           1               6          0         0       0
            23           8          2              3           1               3          0         0       0
            19           0          0              2           5               0          0         0       0
             0           0          0              0           0               0          0         0       0
             1           0          0              0           0               0          0         0       0
            10           0          0             25           0               0          0        15       0
             0           0          0              0           0               0          0         0       0
mom         24           2          3              1           1               7          0         0       4
            18           2          4              0           0              12          0         0       5
            20           4          2              2           0               9          0         0       5
            19           7          1              4           1               5          0         0       6
            22           3          4              1           1               6          0         0       6
            21           0          1              0           0               0          0         0      33
             5           0          0              0           0               0          0         0       0
             1           0          0              0           0               0          0         0       1
             3           0          0              8           0               0          0        10       1
             0           0          0              0           0               0          0         0       0
ltr         26           3          6              1           0               7          0         0       0
            18           6          5              0           0              11          0         0       0
            23           7          5              2           0               6          0         0       0
            18          10          7              1           0               6          0         0       0
            24           6          5              1           0               5          0         0       0
            36           4          0              1           0               3          0         0       0
             2           0          0              0           0               0          0         0       0
             2           0          0              0           0               0          0         0       0
             1           0          0             19           0               0          0         9       0
             0           0          0              0           0               0          0         0       0
woe         22           2          7              1           0               7          0         0       7
            15           6          3              1           0               9          0         0      12
            21           7          3              0           1               9          0         0       8
            20           5          2              2           0               8          0         0      12
            19           8          5              1           0               3          0         0      11
            20           0          1              0           0               0          0         0       0
             0           0          0              0           0               0          0         0       1
             0           0          0              0           0               0          0         0       0
             3           0          0             12           0               0          0         8       0
             0           0          0              0           0               0          0         0       0
lci         23           2          3              7           0               5          0         0       7
            20           3          4              6           0               6          0         0       7
            25           4          4              2           0               4          0         0       6
            22           6          2              7           0               4          0         0       6
            25           5          1              4           0               4          0         0       5
            19           3          0              1           1               0          0         0       1
             1           0          0              0           0               0          0         0       1
             0           0          0              0           0               0          0         0       0
             8           0          0             18           0               0          0        19       3
             0           0          0              0           0               0          0         0       0


One Color
set      White    Blue    Black    Red    Green    colorless
-----  -------  ------  -------  -----  -------  -----------
eld         42      43       41     43       42           26
thb         47      44       44     43       43           14
iko         34      33       33     34       34            9
m21         47      46       47     47       46           18
znr         43      44       44     44       43           17
khm         45      42       44     43       40           15
stx         29      27       28     28       28           20
mh2         42      43       42     42       41           39
afr         44      44       44     44       44           17
mid         40      41       44     41       41           10
vow         44      44       45     45       44           11
neo         43      43       42     43       44           29
snc         32      32       32     31       31           19
dmu         30      30       30     30       30           17
bro         43      41       43     41       43           32
one         42      42       42     42       42           25
mom         42      41       41     43       43            9
ltr         43      41       43     43       42           22
woe         42      41       45     43       42           15
lci         44      44       46     44       45           30


Two Color
       Azorius W/U    Dimir U/B    Rakdos B/R    Gruul R/G    Selesnya W/G    Orzhov W/B    Izzet U/R    Golgari B/G    Boros R/W    Simic U/G
---  -------------  -----------  ------------  -----------  --------------  ------------  -----------  -------------  -----------  -----------
eld              4            3             3            3               3             4            3              4            4            6
thb              3            6             4            4               4             3            2              2            2            3
iko              4            4             4            4               4             6            6              6            7            6
m21              3            2             2            3               2             3            3              3            3            3
znr              2            3             2            3               3             3            3              4            3            2
khm              7            5             8            5               5             7            5              5            8            7
stx              0            0             0            0               0            22           22             23           23           23
mh2              4            4             5            4               6             6            5              5            6            5
afr              2            3             2            2               2             2            2              3            2            2
mid              6            5             5            6               6             4            4              5            4            5
vow              2            3             3            2               2             6            4              4            4            4
neo              3            5             4            2               3             4            2              5            2            3
snc              5            5             6            5               5             0            0              0            0            0
dmu              9            8             9            9               9             9            9              8            8            9
bro              6            2             4            3               3             2            2              3            3            2
one              3            4             3            4               3             3            2              3            3            2
mom              8            6             6            6               6             7            6              7            7            6
ltr              4            4             7            4               6             5            4              4            4            4
woe              5            5             4            4               4             5            5              5            5            5
lci              3            4             3            3               4             3            3              3            3            2


Three Color
       Bant G/W/U    Esper W/U/B    Grixis U/B/R    Jund B/R/G    Naya R/G/W    Abzan W/B/G    Jeskai U/R/W    Sultai B/G/U    Mardu R/W/B    Temur G/U/R
---  ------------  -------------  --------------  ------------  ------------  -------------  --------------  --------------  -------------  -------------
eld             1              1               0             1             0              0               0               0              2              0
thb             0              0               0             0             0              0               0               0              0              0
iko             0              0               0             0             0              6               7               6              6              6
m21             0              0               0             0             1              0               0               0              0              0
znr             0              0               0             0             0              0               0               0              0              0
khm             0              0               0             0             0              0               0               1              0              0
stx             0              0               0             0             0              0               0               0              1              0
mh2             0              1               1             1             0              0               0               0              1              0
afr             0              0               0             0             1              0               0               0              0              0
mid             0              0               0             0             0              0               0               0              0              0
vow             0              0               0             0             0              0               0               0              0              0
neo             0              0               0             0             0              0               1               1              1              0
snc            11             11              11            11            11              0               0               0              0              0
dmu             1              1               1             1             1              1               1               1              1              1
bro             1              0               1             0             0              0               0               0              0              0
one             0              0               0             0             0              0               0               0              0              0
mom             0              0               0             0             0              1               1               1              1              1
ltr             0              1               1             0             0              0               0               0              0              0
woe             0              0               0             0             0              0               0               0              0              1
lci             0              0               0             0             2              0               0               0              0              0


Four or More Color
       Non-White    Non-Blue    Non-Black    Non-Red    Non-Green    Five Color
---  -----------  ----------  -----------  ---------  -----------  ------------
eld            0           0            0          0            0             1
thb            0           0            0          0            0             0
iko            0           0            0          0            0             1
m21            0           0            0          0            0             1
znr            0           0            1          0            0             1
khm            0           0            0          0            0             3
stx            0           0            0          0            0             1
mh2            0           0            0          0            0             1
afr            0           0            0          0            0             1
mid            0           0            0          0            0             0
vow            0           0            0          0            0             0
neo            0           0            0          0            0             2
snc            0           0            0          0            0             3
dmu            0           0            0          0            0             2
bro            0           0            0          0            0             0
one            0           0            0          1            0             0
mom            0           0            0          0            0             2
ltr            0           0            1          0            0             1
woe            0           0            0          0            0             0
lci            0           0            0          0            0             0
